word_id,display,flags,our_en,wikt_en,our_ru,wikt_ru
quellen-v,quellen,ru_mismatch,"overflow, swell","to well, to spring (issue forth, as water from the earth) | to swell, to soak (expand by soaking up a liquid or by capturing an internally generated gas (bakery, fermentation)) | to soak","вспухать, переполняться",просачиваться | бить ключом
widerstehen-v,widerstehen,ru_mismatch,"resist, withstand","to withstand, to resist | resist | withstand","сопротивляться, противостоять",устоять | выдерживать
eingehen-v,eingehen,en_mismatch,"take on, risk","to enter; to go inside | to arrive (of everything that can be received such postal items, reports, messages and payments) | to contract, to shrivel; (especially of clothes) to shrink in the wash","идти на, рисковать",
aechzen-v,ächzen,ru_mismatch,"groan, creak",to groan | to creak | groan,"стонать, скрипеть",охать | кряхтеть
german-n,das German,en_mismatch,germanium,germane,германий,
locken-v,locken,ru_mismatch,"attract, lure","to lure, to entice, to tempt | to be lured | to curl (something)","привлекать, заманивать",виться
herrschen-v,herrschen,ru_mismatch,"prevail, rule","to rule, to reign, to have dominion | to exist, to be going on (of noticeable large-scale conditions or sentiments) | rule","царить, править",царствовать
leck-a,leck,ru_mismatch,leaky,leaky | leaking,протекающий,утлый
wonach-a,wonach,ru_mismatch,"what ... for, after what",after what | whereupon | what for,"что, за чем",чего
daemlich-a,dämlich,en_mismatch,"silly, foolish",very stupid | stupid | sodding,"глупый, дурацкий",
kar-n,das Kar,ru_mismatch,glacial cirque,"cirque (curved depression in a mountainside) | bowl, vat, trough | a regionally varying certain unit of measure for grain",ледниковый цирк,кар
sichten-v,sichten,en_mismatch,"spot, review","to sight | to sift, sort, winnow | to classify, sort over","замечать, просматривать",
nieder-a,nieder,ru_mismatch,"down, settled",low | mean | menial,"вниз, поселившись",низкий | невысокий | низкорасположенный
anlegen-v,anlegen,ru_mismatch,"put on, create","to create | to put on (clothing, jewelry, etc.), to strap on | to start a fight","надевать, создавать",вкладывать | инвестировать
gnade-n,die Gnade,ru_mismatch,"mercy, grace","grace, mercy, graciousness | a grace, an act of mercy or graciousness; something good that one cannot control or does not deserve | pardon, clemency","милость, благодать",прощение | помилование
ablenken-v,ablenken,ru_mismatch,"distract, divert",to divert | to distract | distract,"отвлекать, отвлекаться",отклонить
fuehrer-n,der Führer,ru_mismatch,"guide, leader","guide (person who assists people by providing information, giving directions, etc.) | guidebook (text which provides information about a topic) | leader (someone who is ahead of others)","гид, лидер",вождь | проводник
ausloesen-v,auslösen,ru_mismatch,"trigger, set off","to trigger, to initiate, to cause | to ransom | induce","вызывать, провоцировать",запустить | выкупить
zurecht-a,zurecht,en_mismatch,"well, suitably",only used in zurechtweisen etc. | alternative form of zu Recht,"справляясь, ладя",
bursche-n,der Bursche,ru_mismatch,"boy, guy","boy, young man | student | member of a student fraternity","парень, мальчик",бурш
mademoiselle-n,die Mademoiselle,en_mismatch,"miss, young woman",mademoiselle,"мадемуазель, девушка",
ahnen-v,ahnen,ru_mismatch,"suspect, anticipate","to suspect, guess | suspect ; to guess | guess","догадываться, предвидеть",предчувствовать | предполагать | предположить
gefuehlt-a,gefühlt,en_mismatch,"subjectively, seemingly",Used to mark a proposition as being purely based on one's subjective perception and likely exaggerated for emphasis; it feels as though,"по ощущениям, как будто",
geil-a,geil,ru_mismatch,"cool, awesome",salacious; lustful; horny | keen; bent | great; cool; awesome,"клёвый, потрясающий",сексуальный | страстный | крутой
besitzer-n,der Besitzer,en_mismatch,"owner, proprietor",possessor,"владелец, собственник",владелец | хозяин
umlegen-v,umlegen,en_mismatch,"reallocate, transfer costs","to tilt, to lay flat | to apportion; to divide | to flip","перекладывать, распределять расходы",
wellen-v,wellen,en_mismatch,"ripple, make wavy",to wave | to roll | corrugate,"колыхаться, делать волнистым",
indianer-n,der Indianer,ru_mismatch,"Native American, Indigenous person","Indian, American Indian, Native American | the constellation Indus | Indian, person from India","индейец, представитель коренных народов Америки",индеец
durchgehen-v,durchgehen,en_mismatch,"lose control, overlook",to go through; to walk through | to go all the way (to); to reach as far as | to bolt,"выйти из-под контроля, спустить",
flott-a,flott,en_mismatch,"smart, stylish; brisk","afloat, able to navigate | quick, swift | lively, zippy","шустрый, стильный",
schwachsinn-n,der Schwachsinn,ru_mismatch,"nonsense, rubbish","nonsense | mental retardation, amentia | mental deficiency","чепуха, бессмыслица",слабоумие
erneut-a,erneut,ru_mismatch,"again, anew","renewed | repeated | again, anew","снова, вновь",повторный
kaefig-n,der Käfig,ru_mismatch,cage,cage,клетка,кле́тка
lasten-v,lasten,ru_mismatch,"weigh on, burden","to weigh on, to bear on | weigh down | rest on","тяготить, лежать тяжёлым грузом",давить своей тяжестью
korrektur-n,die Korrektur,ru_mismatch,"correction, proofreading",correction,"исправление, корректура",поправка
bergen-v,bergen,ru_mismatch,"rescue, recover","to recover, salvage, rescue; with regard to living beings this can mean dead or alive, for the latter retten is the normal word | to contain, hold, shelter, conceal | to take in, shorten (a sail)","спасать, извлекать",прятать | укрывать
meeting-n,das Meeting,ru_mismatch,"meeting, business meeting",a business meeting; a scheduled formal meeting for a specific purpose or with an agenda | meeting,"встреча, совещание",собрание
hinlegen-v,hinlegen,ru_mismatch,"put down, lie down","to put down, lay down | to lie down | to pull, to pull off, to bust (a move, an acrobatic feat)","положить, лечь",ложиться
verstorben-a,verstorben,ru_mismatch,"deceased, late","deceased, late | deceased | defunct","покойный, умерший",вымер
abschneiden-v,abschneiden,en_mismatch,"perform, do",to cut off | to truncate | to shorten,"выступить, показать результат",
ueberstehen-v,überstehen,ru_mismatch,"survive, get through","to endure, to overcome, to survive, to pull through | to protrude, to jut out | get over","пережить, перенести",выносить | вынести | выступать
bequemen-v,bequemen,en_mismatch,"to deign, to condescend","to decide to something, with displeasure | to suit oneself | to adapt oneself","снизойти, удосужиться",
weswegen-a,weswegen,ru_mismatch,"why, for what reason","why, for what reason | wherefore, for which | why , for what reason","почему, по какой причине",из-за чего | поэтому | из-за этого
gewaltig-a,gewaltig,ru_mismatch,"huge, tremendous","enormous, huge | massive, mighty | immense","огромный, грандиозный",сильний
uebertragen-v,übertragen,ru_mismatch,"transmit, transfer","to transfer, transmit | to translate | to broadcast, televise","передавать, поручать",переносный
jammern-v,jammern,ru_mismatch,"to whine, complain","to wail, whine, moan, lament, whinge | yammer | whine","ныть, жаловаться",вапить
anrichten-v,anrichten,ru_mismatch,"to cause, wreak","to wreak, to cause, to do (harm) | to prepare | to serve, to dish up","причинять, наносить",совершать
versetzt-a,versetzt,en_mismatch,"staggered, transferred","offset | shifted, displaced","смещённый, переведённый",
entfuehren-v,entführen,ru_mismatch,"kidnap, abduct","to abduct, kidnap, seize (a person or animal) | to hijack (a vehicle) | to seize (someone's mind), to lead (someone's thoughts) astray, to take (someone) to some memory or imaginative place",похищать,похитить
abwarten-v,abwarten,ru_mismatch,wait and see,to await; to wait for | to wait and see (await the course of events before taking action) | to wait through (until the end),"подождать, выждать",выжидать | ждать
verziehen-v,verziehen,en_mismatch,forgive,"to warp, distort | to become warped, distorted | to thin out, disappear",прощать,
fabelhaft-a,fabelhaft,ru_mismatch,"fabulous, wonderful",fabulous | fantastic | great,"потрясающий, замечательный",баснословный | чудесный
entgehen-v,entgehen,ru_mismatch,"escape, avoid",to slip past (someone) | to escape notice | evade,"избежать, ускользнуть",избегать | упускать возможность | пропускать
zacken-v,zacken,ru_mismatch,form jagged edges,to provide with a jagged edge (e.g. by shaping or trimming) | indent | notch,иметь зубчатую форму,вырезать зубцы
befragen-v,befragen,ru_mismatch,"question, interview","to question, to interview, to interrogate | ask | question","опрашивать, допрашивать",расспрашивать | расспросить
ertrinken-v,ertrinken,ru_mismatch,drown,to drown | drown,"тонуть, утонуть",утопать
veraergert-a,verärgert,ru_mismatch,"upset, irritated","upset, annoyed, angry | angrily | angry","расстроенный, раздражённый",сердитый
kontaktieren-v,kontaktieren,ru_mismatch,"contact, get in touch",to contact (establish communication with) | contact,"связаться, контактировать",сконтактировать
ablaufen-v,ablaufen,en_mismatch,"expire, take place","run out | to wear down (soles, heals etc.) | to go","истекать, проходить",
versaut-a,versaut,en_mismatch,"messed up, spoiled","filthy | kinky, having unusual sexual desires or practices | raunchy","испорченный, запущенный",
hilfreich-a,hilfreich,ru_mismatch,"helpful, useful","useful, helpful | helpful | useful","полезный, помогающий",способный помочь
freak-n,der Freak,ru_mismatch,"freak, eccentric",freak (in the abnormal person sense) | freak,"чудак, странный человек",Фрики
zerbrechen-v,zerbrechen,ru_mismatch,"break, shatter","to break into pieces, to shatter, to snap (to cause an object to come apart into discrete pieces) | to break into pieces, to shatter (to come apart into discrete pieces) | break","разбивать, разбиваться",ломаться | ломать
faszinieren-v,faszinieren,ru_mismatch,"fascinate, captivate",to fascinate | fascinate,"увлекать, восхищать",завораживать | очаровывать
verfahren-v,verfahren,ru_mismatch,"proceed, get lost","to proceed, to deal with | to lose one's way, to get lost | muddled, stagnant, frustrating","действовать, заблудиться",запутанный | безвыходный | безнадёжный
doof-a,doof,ru_mismatch,"stupid, silly","stupid, dumb | boring, annoying | daft","глупый, дурацкий",дурной | тупой
fies-a,fies,ru_mismatch,"mean, nasty","disgusting, disagreeable | mean, uncomfortable, not nice | mean or otherwise dislikeable","злой, подлый",отвратительный | неприятный
ausliefern-v,ausliefern,ru_mismatch,"deliver, leave at mercy","to deliver, to distribute | to extradite | to roll out","доставлять, отдавать во власть",выдава́ть | экстрадировать
guetig-a,gütig,ru_mismatch,"kind, benevolent","kind, gracious, benign, benevolent | benevolent | gracious","добрый, милосердный",любезный
leinen-v,leinen,ru_mismatch,leash,"canvas, cloth | linen | put on a lead",держать на поводке,льняной
federn-v,federn,en_mismatch,"spring, bounce",feather | tar and feather | be springy,"пружинить, амортизировать",
aufregung-n,die Aufregung,ru_mismatch,"excitement, fuss",excitement | agitation | stir,"волнение, суета",возбуждение | переполох | беспокойство
verwirren-v,verwirren,ru_mismatch,"confuse, bewilder",to confuse | confuse,"смущать, приводить в замешательство",запутывать
gefaelligst-a,gefälligst,en_mismatch,for goodness' sake,"used to sharply reinforce a demand or order, demanding obedience and often expressing annoyance, including in indirect speech; had better, already | kindly | please","будь добр, пожалуйста же",
vertreiben-v,vertreiben,ru_mismatch,"drive away, distribute","to force to leave, to drive away | to pass (time) | to put on the market, to sell (especially in large quantities)","прогонять, распространять",отгонять
enorm-a,enorm,ru_mismatch,"enormous, immense","enormous | very, so | tremendous","огромный, колоссальный",невероятно
penis-n,der Penis,ru_mismatch,penis,penis | cock | dick,пенис,половой член
bewusstlos-a,bewusstlos,ru_mismatch,unconscious,"unconscious (not conscious, not awake) | unconscious",без сознания,бессознательный
drohung-n,die Drohung,ru_mismatch,threat,threat (expression of intent to injure or punish another) | threat,угроза,угро́за
info-n,die Info,en_mismatch,"information, tip",info,"информация, сведения",
aufklaeren-v,aufklären,en_mismatch,"clarify, solve","to clear up, explain (a mystery etc) | to enlighten; to inform (someone about something) (so they can take the appropriate course of action) | to reconnoitre, scout","прояснять, раскрывать",
spinner-n,der Spinner,en_mismatch;ru_mismatch,"weirdo, eccentric",agent noun of spinnen | loon | Arctiinae,"чудак, странный человек",прядильщик | шелкопряд
koordinate-n,die Koordinate,ru_mismatch,coordinate,coordinate,координата,кордината
nebeln-v,nebeln,en_mismatch,"fog, spray",to grow foggy | to lay a smokescreen,"распылять, окутывать туманом",
hinfahren-v,hinfahren,en_mismatch,"go there, travel there","to give a ride [auxiliary haben] (to drive for someone else to reach a destination) | to drive [auxiliary sein] (to drive to a specified location) | to drive away, to drive off","поехать туда, добраться туда",
raeuspern-v,räuspern,ru_mismatch,clear one’s throat,"to clear one's throat, to cough slightly (when trying to get attention) | clear one's throat",прочищать горло,откашливаться
schnaps-n,der Schnaps,ru_mismatch,"schnapps, liquor","spirit, booze, hard liquor | liquor | spirits","шнапс, крепкий алкоголь",водка | кизлярка
tattoo-n,der Tattoo,ru_mismatch,tattoo,tattoo | tattoo (drum or bugle signal ordering soldiers to return to their quarters) | tattoo (military display or pageant),татуировка,тату
out-a,out,en_mismatch,"outdated, unfashionable",out of fashion | ball crossing or landing outside of baseline or sideline (Association football: touchline) and thus becoming out of play,"немодный, устаревший",
untergehen-v,untergehen,ru_mismatch,"set, go down","to set (of a heavenly body: to disappear below the horizon) | to fall, to go down (to be defeated) | to perish, to vanish","заходить, тонуть",потонуть | затонуть | идти ко дну
verklagen-v,verklagen,ru_mismatch,"sue, take to court",to sue | sue,"подать в суд, засудить",предъявить иск
borgen-v,borgen,ru_mismatch,"lend, borrow",to borrow | to lend | lend,"одолжить, занять",занимать (брать/давать взаймы)
starr-a,starr,ru_mismatch,"rigid, staring",rigid,"оцепенелый, пристально смотрящий",неподвижный | неизменный
alpha-n,das Alpha,ru_mismatch,"alpha, Greek letter",alpha (Greek letter) | alpha,"альфа, греческая буква",а́льфа
hurra-n,das Hurra,en_mismatch,"hurray, cheering",hooray,"ура, ликование",
abstellen-v,abstellen,ru_mismatch,"park, put down","to put down, to set down | to move someone away from their usual post or job | to turn off, to switch off","ставить, парковать",поставить | перестать | выключить
beileid-n,das Beileid,en_mismatch,condolences,"condolence, sympathy (especially over death) | condolence | sympathy",соболезнования,соболезнование ( соболезнования )
verarscht-a,verarscht,en_mismatch,"conned, messed around","pranked, punked","обманутый, выставленный дураком",
nachbarschaft-n,die Nachbarschaft,en_mismatch,neighborhood,neighbourhood | neighbourship | proximity,"район, соседство",соседство
klatschen-v,klatschen,ru_mismatch,"applaud, clap","to clap | to gossip, to tattle, to chitchat | to beat; to beat up","аплодировать, хлопать",хлопнуть
verehren-v,verehren,ru_mismatch,"admire, revere","to revere, to venerate | to adore | to worship","почитать, боготворить",поклоняться | восхищаться
betteln-v,betteln,ru_mismatch,"beg, plead","to beg (alms), to panhandle | beg","попрошайничать, умолять",просить
tarnung-n,die Tarnung,ru_mismatch,"camouflage, disguise",camouflage | cover,"маскировка, прикрытие",kamufljásh
stall-n,der Stall,ru_mismatch,"stable, barn","stable, sty, shed, barn (building for keeping animals of all sorts); stall, sty (compartment within such a building); (loosely) pen (small outdoors area for keeping animals, properly Pferch) | ellipsis of Hosenstall (“fly of trousers”) | synonym of Stelle, place something is situated, stead (occasionally with implication that something is “standing”, gestellt)","конюшня, хлев",стойло
eindringen-v,eindringen,en_mismatch,"enter forcibly, penetrate",to intrude | intrude,"проникать, вторгаться",
saugen-v,saugen,ru_mismatch,"vacuum, absorb",to suck (to create underpressure with a tube-like object such as one's mouth) | to suck (something) | ellipsis of staubsaugen (“to vacuum”),"пылесосить, впитывать",сосать
geheimdienst-n,der Geheimdienst,ru_mismatch,"intelligence service, secret service","intelligence agency, secret agency, intelligence service | secret service | intelligence service","разведка, спецслужба",секретная служба
wobei-a,wobei,en_mismatch,"whereby, although","Introduces a comitative sentence, denoting a simultaneous event with the main clause. It frequently corresponds to English present participles (-ing) in adverbial use. | Interrogative and relative adverbs: by what, about what | Sometimes with verb in the second position. With concessive meaning when main and subordinate clauses are semantically incompatible.","при этом, хотя",при чём | причём
loechern-v,löchern,en_mismatch,question persistently,to perforate | to pester,засыпать вопросами,
fertigmachen-v,fertigmachen,ru_mismatch,"get ready, wear down","(colloquial) to complete (to finish) | to get ready, dress up | to beat up (hurt someone physically)","собираться, изматывать",заканчивать / закончить | завершать / завершить | прикончить
fluechtig-a,flüchtig,ru_mismatch,"fleeting, cursory","fleeting | superficial, hasty | fugitive (fleeing)","мимолётный, беглый",эфемерный
karren-v,karren,en_mismatch,"cart, haul",to wheelbarrow,"таскать, возить",
are-n,die Are,en_mismatch,"are, unit of area",synonym of Ar,"ар, единица площади",
aufgehen-v,aufgehen,ru_mismatch,"work out, rise","to open, come undone | to rise, expand (of dough etc.) | to rise, come up (of a celestial body)","получиться, взойти",открываться | распускаться | развязываться
vergeuden-v,vergeuden,ru_mismatch,"waste, squander","to squander, to waste (time, resources, money) | squander , to waste",тратить впустую,расточать
betreiben-v,betreiben,ru_mismatch,"do, pursue","to run, to operate (a business, an engine, etc.) | to do (sport, trade) | to pursue (a policy, a goal)","заниматься, вести",эксплуатировать | управлять
windel-n,die Windel,ru_mismatch,"nappy, diaper","diaper, nappy | diaper | nappy",подгузник,пелёнка
quasi-a,quasi,ru_mismatch,"practically, virtually","as it were, so to speak, effectively, essentially; used to mark a description as figurative, simplified or otherwise not to be taken as absolute, but illustrative of an important point | as good as, basically, virtually, more or less; used to describe a process or change of state that has not been technically completed, but the remainder is considered minor or a mere formality | quasi","почти, фактически",якобы | как бы | в некотором роде
hinunter-a,hinunter,en_mismatch,"downward, downstairs","down, downwards (from the own location downwards)","вниз, вниз по лестнице",
kellnern-v,kellnern,en_mismatch,work as a waiter,wait,работать официантом,
verhindert-a,verhindert,en_mismatch,"prevented, prevented from happening","indisposed, unavailable, busy","предотвращённый, не допущенный",
anhaenger-n,der Anhänger,ru_mismatch,"follower, fan",agent noun of anhängen | trailer | pendant,"последователь, поклонник",прицеп | приверженец
zukommen-v,zukommen,ru_mismatch,"approach, be forthcoming","to come towards, come up to; to approach | to become, befit | approach","приближаться, предстоять",подходить | наступать | получать
abbrechen-v,abbrechen,ru_mismatch,"quit, break off","to break off (remove by breaking) | to be broken off | to terminate, to end, to stop (especially suddenly or unexpectedly)","бросить, прервать",отламывать | прерывать | сносить
erobern-v,erobern,ru_mismatch,"to conquer, win over","to conquer, to capture | to win | conquer","завоёвывать, покорять",завоевать
genehmigung-n,die Genehmigung,en_mismatch,"permission, authorization",permit | approval,"разрешение, согласование",одобрение | согласие
heran-a,heran,en_mismatch;ru_mismatch,"toward, closer","near, close to the speaker, over to (to the direction of the speaker or an object) | near | close up","к, ближе",вперед | поближе | сюда
abzug-n,der Abzug,ru_mismatch,"trigger, withdrawal","trigger (of a gun) | hood, fume hood (covering of a vent to suck away smoke or fumes) | print, copy","курок, отступление",отход | вывод войск | вытяжка
losen-v,losen,ru_mismatch,draw lots,to draw lots; to draw straws; to toss up | draw lots | listen,тянуть жребий,свободным
dar-a,dar,en_mismatch,"there, in that respect",only used in darstellen etc.,"там, в этом отношении",
kammer-n,die Kammer,ru_mismatch,"chamber, house",chamber; room | chamber,"палата, палата парламента",комнатка
vornehm-a,vornehm,en_mismatch;ru_mismatch,"upmarket, refined",elegant; posh; high-class; distinguished | aristocratic; noble; stately (of the aristocracy; befitting aristocracy) | elegant,"престижный, утончённый",аристократичный | именитый | знатный
kondom-n,das Kondom,ru_mismatch,condom,condom | rubber,презерватив,гандон | гондон | кондом
entsetzlich-a,entsetzlich,ru_mismatch,"terrible, horrific","horrible, terrible, horrendous, appalling | horribly, terribly | horrible","ужасный, страшный",ужа́сный | жу́ткий
wickeln-v,wickeln,ru_mismatch,"wrap, swaddle","to wrap, wind around, coil | to swaddle (a baby) | change a baby","заворачивать, пеленать",обертывать
plagen-v,plagen,en_mismatch,"torment, bother",to plague | plague,"мучить, беспокоить",терзать | мучить
